name,company,image,for_gender,main accords,top notes,middle notes,base notes
Scenthusiasm 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.51565.jpg,for women and men,"{'aromatic': '100', 'citrus': '93.8835', 'iris': '79.2719', 'woody': '78.932', 'powdery': '67.2086', 'fresh spicy': '62.9611', 'ozonic': '62.1115', 'aquatic': '58.5438', 'rose': '50.3881', 'earthy': '49.7088'}","Cucumber, Lemon, Orange","Orris Root, Juniper, Coriander, Rose","White Woods, Musk"
4711 Acqua Colonia Bamboo & Watermelon 4711,4711,https://fimgs.net/mdimg/perfume/375x500.65492.jpg,for women and men,"{'ozonic': '100', 'aquatic': '92.9999', 'woody': '82.6296', 'earthy': '45.037'}",,,
4711 Acqua Colonia Hazel & Tonka 4711,4711,https://fimgs.net/mdimg/perfume/375x500.27646.jpg,for women and men,"{'nutty': '100', 'woody': '71.9999', 'vanilla': '67.3948', 'sweet': '65.3685', 'amber': '56.7106', 'aromatic': '46.0264'}",,,
4711 Acqua Colonia Intense Pure Breeze Of Himalaya 4711,4711,https://fimgs.net/mdimg/perfume/375x500.55728.jpg,for women and men,"{'musky': '100', 'fresh': '76.5295', 'powdery': '62.6532', 'citrus': '59.2064', 'amber': '57.8352', 'ozonic': '55.4473', 'white floral': '51', 'woody': '47.9532', 'soft spicy': '45.2764', 'rose': '44.7617'}","Pink Pepper, Bergamot, Mandarin Orange","Mountain Air, Lily-of-the-Valley, Rose","Musk, Cashmeran, Ambroxan"
4711 Acqua Colonia Juniper Berry & Marjoram 4711,4711,https://fimgs.net/mdimg/perfume/375x500.12220.jpg,for women and men,"{'fresh spicy': '100', 'aromatic': '98.4211', 'herbal': '79.1228', 'woody': '51.9298'}",,,
4711 Acqua Colonia Lavender & Thyme 4711,4711,https://fimgs.net/mdimg/perfume/375x500.5828.jpg,for women and men,"{'aromatic': '100', 'lavender': '90.1352', 'fresh spicy': '71.0135', 'herbal': '55.8107'}",,,
4711 Acqua Colonia Lemon & Ginger 4711,4711,https://fimgs.net/mdimg/perfume/375x500.5827.jpg,for women and men,"{'citrus': '100', 'warm spicy': '54.7943', 'fresh': '51.1627', 'aromatic': '49.347'}",,,
4711 Acqua Colonia Matcha & Frangipani 4711,4711,https://fimgs.net/mdimg/perfume/375x500.61034.jpg,for women and men,"{'floral': '100', 'green': '87.0001', 'tropical': '86.0002', 'powdery': '77.5', 'lactonic': '57.9999', 'citrus': '50.9999'}",,,
4711 Acqua Colonia Melissa & Verbena 4711,4711,https://fimgs.net/mdimg/perfume/375x500.5831.jpg,for women and men,"{'citrus': '100', 'fresh spicy': '59.6436', 'herbal': '57.4057', 'aromatic': '52.4161', 'sweet': '49.8113'}",,,
4711 Acqua Colonia Plum & Honey 4711,4711,https://fimgs.net/mdimg/perfume/375x500.27645.jpg,for women and men,"{'fruity': '100', 'sweet': '83.0834', 'honey': '66.1666'}",,,
4711 Acqua Colonia Rhubarb & Clary Sage 4711,4711,https://fimgs.net/mdimg/perfume/375x500.8701.jpg,for women and men,"{'aromatic': '100', 'soft spicy': '67.4419', 'green': '49.3722', 'fruity': '46.6047'}",,,
4711 Acqua Colonia Royal Riesling 4711,4711,https://fimgs.net/mdimg/perfume/375x500.5829.jpg,for women and men,"{'fruity': '100', 'sweet': '64.9999'}",,,
4711 Acqua Colonia Vetyver & Bergamot 4711,4711,https://fimgs.net/mdimg/perfume/375x500.5830.jpg,for women and men,"{'citrus': '100', 'aromatic': '93.7635', 'woody': '79.7636', 'earthy': '66.6544', 'fresh spicy': '64.9999', 'green': '49.2181'}",,,
Moonlight Cypress A La Lune,A La Lune,https://fimgs.net/mdimg/perfume/375x500.81282.jpg,for women and men,"{'aromatic': '100', 'woody': '91.2498', 'fresh spicy': '76.6666', 'earthy': '50.4165', 'musky': '47.4999'}","Juniper, Sage","Cade oil, Cypriol Oil or Nagarmotha","Juniper, White Musk"
Azure Perfume A Wing & A Prayer Perfumes,A Wing & A Prayer Perfumes,https://fimgs.net/mdimg/perfume/375x500.36332.jpg,for women and men,"{'citrus': '100', 'green': '82.3334', 'fresh spicy': '70.0002', 'aromatic': '67.7779', 'herbal': '51.6666'}",,,
Big Sur A Wing & A Prayer Perfumes,A Wing & A Prayer Perfumes,https://fimgs.net/mdimg/perfume/375x500.36060.jpg,for women and men,"{'rose': '100', 'sweet': '91.6002', 'mossy': '85.9999', 'lavender': '85.9999', 'fruity': '85.9999', 'aromatic': '69.2002', 'vanilla': '69.2002', 'soft spicy': '69.2002', 'earthy': '69.2002', 'amber': '58.0002'}",,,
Carmel A Wing & A Prayer Perfumes,A Wing & A Prayer Perfumes,https://fimgs.net/mdimg/perfume/375x500.36058.jpg,for women and men,"{'aromatic': '100', 'marine': '73.75', 'mossy': '73.75', 'woody': '65', 'earthy': '60.6251', 'fresh spicy': '60.6251', 'salty': '47.5'}",,,
La Isla del Sol A Wing & A Prayer Perfumes,A Wing & A Prayer Perfumes,https://fimgs.net/mdimg/perfume/375x500.36755.jpg,for women and men,"{'citrus': '100', 'amber': '76.6668', 'white floral': '76.6668', 'fresh spicy': '53.3332', 'animalic': '49.4444', 'sweet': '47.8889', 'aromatic': '44.0001'}",,,
LACE Perfume A Wing & A Prayer Perfumes,A Wing & A Prayer Perfumes,https://fimgs.net/mdimg/perfume/375x500.36326.jpg,for women and men,"{'fresh spicy': '100', 'aromatic': '93.9999', 'citrus': '70.0001', 'floral': '56.9999', 'green': '55.9999', 'warm spicy': '54.9999', 'woody': '51.9999', 'lavender': '49.9998', 'amber': '49.9998'}","Lemon, Mint, Bergamot","Nutmeg, White Ginger Lily, Geranium, Lavender","Vetiver, Labdanum, Cloves"
Paris 1948 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.29123.jpg,for women and men,"{'woody': '100', 'fresh spicy': '93.8749', 'sweet': '87.9688', 'citrus': '87.6406', 'mossy': '84.6872', 'green': '83.1567', 'amber': '78.5628', 'musky': '75.5003', 'earthy': '68.2813', 'rose': '67.1874'}","Peach, Grapefruit, Basil","Rose, Honey, Orange Blossom, Palisander Rosewood, Cedar","Oakmoss, Labdanum, Hay, Musk"
Tallulah B A Wing & A Prayer Perfumes,A Wing & A Prayer Perfumes,https://fimgs.net/mdimg/perfume/375x500.37021.jpg,for women,"{'warm spicy': '100', 'rose': '91.7645', 'citrus': '84.5585', 'white floral': '81.4705', 'woody': '67.4705', 'floral': '65.4115', 'powdery': '62.941', 'aromatic': '55.735', 'musky': '50.588', 'vanilla': '50.588'}","Rose, Cloves, Lily, Neroli, Vanilla, Mandarin Orange, Bergamot","Rose, Lime (Linden) Blossom, Jasmine","Sandalwood, Musk, Vetyver"
Behind Closed Doors A13,A13,https://fimgs.net/mdimg/perfume/375x500.72593.jpg,for women and men,"{'amber': '100', 'balsamic': '72.8684', 'animalic': '72.4278', 'fresh spicy': '67.1403', 'warm spicy': '66.7625', 'citrus': '65.2515', 'musky': '57.5718', 'woody': '56.8163', 'sweet': '52.7878', 'powdery': '50.5217'}","Blood Orange, Mandarin Orange, Bergamot, Pineapple, Magnolia","Cumin, Cinnamon, White Honey, Cardamom, Leather","Peru Balsam, Civet, Amber, Incense, Honey, Pink Pepper, Cedar, Vanilla"
Muschio di Quercia (Oak Moss) Abdes Salaam Attars Perfumes,Abdes Salaam Attars Perfumes,https://fimgs.net/mdimg/perfume/375x500.19580.jpg,for women and men,"{'woody': '100', 'earthy': '87.8435', 'mossy': '79.4273', 'aromatic': '59.9236', 'powdery': '50.0382'}",,,
Pepe Rosa & Arancio Amaro Acca Kappa,Acca Kappa,https://fimgs.net/mdimg/perfume/375x500.87542.jpg,for women and men,"{'woody': '100', 'patchouli': '61.2268', 'earthy': '55.2418', 'aromatic': '52.6394', 'balsamic': '52.3791', 'citrus': '48.2157', 'mossy': '48.2157', 'warm spicy': '45.6134'}","Pink Pepper, Bitter Orange, Bergamot, Lemon","Patchouli, elemi, Jasmine","Guaiac Wood, Cedar, Oakmoss, Amber"
The Noir & Bergamote Accord Parfait,Accord Parfait,https://fimgs.net/mdimg/perfume/375x500.4082.jpg,for women and men,"{'citrus': '100', 'green': '79', 'fresh spicy': '72.0001', 'aromatic': '51', 'fresh': '51', 'ozonic': '44'}",,,
AcquaDi Intense AcquaDì,AcquaDì,https://fimgs.net/mdimg/perfume/375x500.47440.jpg,for men,"{'citrus': '100', 'woody': '92.781', 'earthy': '77.9064', 'fresh': '70.0313', 'aquatic': '69.3751', 'aromatic': '68.9373', 'musky': '67.6249', 'floral': '64.453', 'powdery': '59.9687', 'patchouli': '56.2501'}","Lemon, Water Notes, Bergamot, Grapefruit, Melon","Patchouli, Iris, Jasmine, Cedar, Vetiver, Peony","Oakmoss, White Musk, Ambrette (Musk Mallow), Ambergris"
Kilim Adam,Adam,https://fimgs.net/mdimg/perfume/375x500.76514.jpg,for women,,,,
Firefly Adscenture,Adscenture,https://fimgs.net/mdimg/perfume/375x500.82516.jpg,for women and men,"{'woody': '100', 'aromatic': '92.1554', 'earthy': '79.4829', 'fresh spicy': '69.8276', 'fruity': '66.2072', 'mossy': '66.2072', 'citrus': '54.138', 'lavender': '54.138', 'patchouli': '54.138', 'warm spicy': '45.6897'}","Black Currant, Lime peel, Dew Drop","Lavender, Rosemary, Frankincense","Moss, Patchouli, Vetiver"
Aedes de Venustas Eau de Parfum Aedes de Venustas,Aedes de Venustas,https://fimgs.net/mdimg/perfume/375x500.14890.jpg,for women and men,"{'aromatic': '100', 'green': '89.0469', 'fruity': '68.4724', 'fresh spicy': '53.0204', 'woody': '47.6385', 'smoky': '46.7063', 'sweet': '44.187'}",,,
Burner Perfume No 2: A Roll in the Grass Aether Arts Perfume,Aether Arts Perfume,https://fimgs.net/mdimg/perfume/375x500.25084.jpg,for women and men,"{'green': '100', 'fresh spicy': '83.0304', 'aromatic': '73.485', 'fresh': '64.6464', 'mossy': '58.2829', 'earthy': '52.6262', 'herbal': '48.7375', 'woody': '44.8487', 'citrus': '44.8487', 'fruity': '44.1414'}",,,
Joie de Vert Aftelier,Aftelier,https://fimgs.net/mdimg/perfume/375x500.70956.jpg,for women and men,"{'anis': '100', 'mossy': '100', 'soft spicy': '82.4997', 'earthy': '79.0001', 'sweet': '71.6499', 'aromatic': '71.3', 'amber': '65', 'floral': '60.0997', 'woody': '59.3999', 'citrus': '57.9997'}",,,
