name,company,image,for_gender,main accords,top notes,middle notes,base notes
Green Wood Amberfig,Amberfig,https://fimgs.net/mdimg/perfume/375x500.52409.jpg,for women and men,"{'aromatic': '100', 'woody': '85.6218', 'earthy': '60.6487', 'green': '59.5137', 'fresh spicy': '52.7028', 'mossy': '48.9188', 'cannabis': '45.1351'}","Galbanum, Absinthe, Juniper, Juniper Berries, Mint, Sicilian Lemon","cannabis, Mate, Cashmere Wood, Iris, Cypress, Pitanga, Lily, Tagetes","Vetiver, Oakmoss, Sandalwood, Patchouli, Leather"
Attila Amigdala Sentimentals,Amigdala Sentimentals,https://fimgs.net/mdimg/perfume/375x500.88904.jpg,for men,"{'woody': '100', 'aromatic': '71.4432', 'fruity': '69.3536', 'earthy': '67.264', 'sweet': '64.8261', 'amber': '60.9953', 'powdery': '60.4728', 'fresh spicy': '53.3332', 'musky': '51.9403', 'citrus': '50.8958'}","Cassis, Plum, Red Berries, Mandarin Orange","Oakmoss, Laurels, Bergamot, Ylang Ylang, Violet, Iris, Ambrette, Rum, Tonka Bean, Vanilla","Vetiver, Cedar, Patchouli, Styrax, Tobacco, Leather, Amber, Castoreum, Civet, Labdanum, Agarwood (Oud)"
Memoir Woman Amouage,Amouage,https://fimgs.net/mdimg/perfume/375x500.10146.jpg,for women,"{'warm spicy': '100', 'amber': '95.2134', 'smoky': '80.238', 'woody': '72.5137', 'leather': '67.1892', 'aromatic': '57.8501', 'musky': '57.4202', 'white floral': '57.009', 'balsamic': '56.962', 'fresh spicy': '54.7136'}","Wormwood, Cardamom, Pink Pepper, Mandarin Orange","Incense, Clove, Woodsy Notes, Rose, White Flowers, Pepper, Jasmine","Leather, French labdanum, Castoreum, Styrax, oak moss, Musk"
The Library Collection Opus I Amouage,Amouage,https://fimgs.net/mdimg/perfume/375x500.9917.jpg,for women and men,"{'woody': '100', 'warm spicy': '74.3966', 'white floral': '73.6326', 'aromatic': '58.5024', 'sweet': '58.3019', 'yellow floral': '58.0821', 'tuberose': '55.8852', 'amber': '51.3098', 'citrus': '49.7061', 'fruity': '47.6709'}","Cardamom, Bitter Orange, Plum","Ylang-Ylang, Tuberose, Jasmine, Rose, Lily-of-the-Valley","Incense, Papyrus, Guaiac Wood, Tonka Bean, Sandalwood, Vetyver, Virginia Cedar"
Le Lion Eau de Parfum Chanel,Chanel,https://fimgs.net/mdimg/perfume/375x500.61036.jpg,for women and men,"{'amber': '100', 'woody': '73.9668', 'musky': '63.4876', 'powdery': '60.8545', 'citrus': '55.2859', 'vanilla': '51.9983', 'patchouli': '51.9983', 'balsamic': '51.1137', 'warm spicy': '48.1727'}","Bergamot, Lemon","Labdanum, Amber","Madagascar Vanilla, Patchouli, Musk, Sandalwood"
Paris – Venise Chanel,Chanel,https://fimgs.net/mdimg/perfume/375x500.49696.jpg,for women and men,"{'citrus': '100', 'powdery': '91.6394', 'iris': '78.4768', 'vanilla': '71.3421', 'violet': '65.0476', 'aromatic': '62.8278', 'sweet': '57.3733', 'fresh spicy': '56.9322', 'musky': '54.9783', 'amber': '53.5313'}","Lemon, Orange, Bergamot, Petitgrain, Pink Pepper","Iris, Neroli, Rose, Ylang-Ylang, Geranium","Tonka Bean, White Musk, Vanilla, Violet, Orris, Benzoin"
Hermit Coat Chapel Factory,Chapel Factory,https://fimgs.net/mdimg/perfume/375x500.71947.jpg,for women and men,"{'smoky': '100', 'amber': '95.0364', 'powdery': '70.0489', 'musky': '65.2568', 'woody': '64.7432', 'fresh spicy': '58.582', 'aromatic': '54.0464', 'vanilla': '52.7631', 'almond': '46.2593', 'balsamic': '45.1123'}","Ash, Heliotrope, elemi","Olibanum, Balsam Fir, Rose","Smoke, Musk, Ambroxan, Amber"
Ambre Nuit Dior,Dior,https://fimgs.net/mdimg/perfume/375x500.7092.jpg,for women and men,"{'rose': '100', 'citrus': '80.6616', 'soft spicy': '64.8792', 'floral': '53.5097', 'fresh spicy': '49.5627', 'woody': '47.8366', 'musky': '44.9482'}","Bergamot, Grapefruit","Damask Rose, Pink Pepper","Ambergris, Cedar, Guaiac Wood, Patchouli"
Ambre Nuit Dior,Dior,https://fimgs.net/mdimg/perfume/375x500.48395.jpg,for women and men,"{'amber': '100', 'rose': '81.4218', 'floral': '45.4265'}",,,
Fève Délicieuse (2018) Dior,Dior,https://fimgs.net/mdimg/perfume/375x500.48392.jpg,for women and men,"{'vanilla': '100', 'sweet': '86.8451', 'amber': '67.2671', 'warm spicy': '60.363', 'aromatic': '58.3481', 'caramel': '54.1578', 'cherry': '52.2114', 'chocolate': '47.0363', 'lavender': '46.7157', 'balsamic': '46.2865'}","Lavender, Mint, Calabrian bergamot","Cherry, Freesia, Jasmine","Tonka Bean, Madagascar Vanilla, Caramel, Dark Chocolate, Benzoin, Leather, Sandalwood, Coconut, Cedar"
Leather Oud Dior,Dior,https://fimgs.net/mdimg/perfume/375x500.48386.jpg,for women and men,"{'leather': '100', 'smoky': '99.6111', 'woody': '81.2779', 'warm spicy': '76.9721', 'oud': '72.778', 'animalic': '54.0276', 'fresh spicy': '53.2776', 'aromatic': '49.2776', 'patchouli': '46.1111'}",Bergamot,"Cardamom, Cloves, Geranium, Jasmine","Leather, Agarwood (Oud), Smoke, Birch, Patchouli, Amberwood, Sandalwood, Sand"
Oud Ispahan Dior,Dior,https://fimgs.net/mdimg/perfume/375x500.48384.jpg,for women and men,"{'woody': '100', 'amber': '94.0169', 'rose': '84.6955', 'smoky': '71.5995', 'floral': '67.2085', 'balsamic': '56.6417', 'warm spicy': '44.4828'}",,,
