name,company,image,for_gender,main accords,top notes,middle notes,base notes
Lilaganza 1907,1907,https://fimgs.net/mdimg/perfume/375x500.73633.jpg,for women,"{'floral': '100', 'fresh': '65.3097', 'rose': '50.6489', 'powdery': '50.0296', 'green': '49.2037', 'violet': '48.5841', 'vanilla': '46.5193'}",Neroli,"Lilac, Rose, Violet","Vanilla, Cedar"
Vanilla Dry 1907,1907,https://fimgs.net/mdimg/perfume/375x500.64042.jpg,for women and men,"{'white floral': '100', 'vanilla': '88.75', 'sweet': '86.833', 'woody': '70.9998', 'yellow floral': '69.9999', 'powdery': '64.5', 'coconut': '63.3331', 'citrus': '45.3001', 'musky': '44.9998'}","Ylang-Ylang, Orange, Mandarin Orange","Tiare Flower, Jasmine, Lily-of-the-Valley","Vanilla, Coconut, Sandalwood, White Musk"
Eat Flowers 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.51535.jpg,for women and men,"{'white floral': '100', 'yellow floral': '61.7443', 'woody': '58.0272', 'powdery': '57.2674', 'iris': '55.7751', 'sweet': '55.7751', 'fresh spicy': '55.2326', 'tuberose': '54.4186', 'rose': '53.7403', 'floral': '53.4961'}","Lime (Linden) Blossom, Neroli, Lemon Blossom","Iris, Tuberose, Lily, Geranium, Rose","White Woods, Cabreuva, Musk"
Flora Psychedelica 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.41017.jpg,for women and men,"{'aromatic': '100', 'fresh spicy': '82.6437', 'rose': '70.1152', 'powdery': '58.7357', 'green': '58.4483', 'floral': '56.6551', 'iris': '52.9884', 'citrus': '51.7241', 'herbal': '51.6093', 'fresh': '49.0806'}","Absinthe, Rose, Petitgrain, Lemon, Lily","Rose Geranium, Jasmine Tea, Lime (Linden) Blossom, Celery","Orris Root, Black Pepper, Carrot"
Fluffy Lemon Top 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.69190.jpg,for women and men,"{'citrus': '100', 'sweet': '81.0418', 'vanilla': '78.1252', 'mossy': '62.0832', 'powdery': '61.2082', 'earthy': '55.9584', 'musky': '53.3335', 'fresh spicy': '52.4585', 'aromatic': '47.2082', 'woody': '45.1666'}","Bergamot, Orange, Mandarin Orange","White Chocolate, Iris, Narcissus, Lily-of-the-Valley","Vanilla, Moss, Musk, Tonka Bean"
Freeway 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.49307.jpg,for women and men,"{'woody': '100', 'citrus': '98.5075', 'vanilla': '80.1935', 'white floral': '79.9226', 'sweet': '78.2943', 'tobacco': '74.7675', 'aromatic': '64.864', 'cannabis': '61.2014', 'green': '60.9978', 'herbal': '52.1123'}","Mandarin Orange, Petitgrain","Tobacco, Rum, Orange Blossom, Jasmine","Vanilla, Woody Notes, cannabis, Brandy"
Killer Rose 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.51534.jpg,for women and men,"{'amber': '100', 'powdery': '84.4704', 'violet': '76.3577', 'rose': '76.3577', 'woody': '75.199', 'sweet': '74.5038', 'fresh spicy': '70.7947', 'balsamic': '69.8678', 'floral': '60.8281', 'citrus': '59.3212'}","Peach, Yuzu","Geranium, Violet, Rose, Iris, Jasmine","Opoponax, Labdanum, Patchouli, Musk"
Paradox 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.31918.jpg,for women and men,"{'citrus': '100', 'powdery': '81.4887', 'violet': '81.3333', 'iris': '61.111', 'white floral': '53.6443', 'floral': '48.8221', 'green': '48.6667', 'fresh spicy': '48.5113', 'aromatic': '48.3555', 'musky': '45.5555'}","Grapefruit, Yuzu, Orange Blossom","Violet, Petitgrain","Iris, Musk"
Pillow Talk 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.81997.jpg,for women and men,"{'sweet': '100', 'woody': '97.7892', 'yellow floral': '88.9471', 'vanilla': '88.9471', 'fresh spicy': '78.6315', 'powdery': '76.4207', 'amber': '74.2105', 'white floral': '74.2105', 'soft spicy': '71.2629', 'citrus': '66.8418'}","Orange Blossom, Pink Pepper, Yuzu","Ylang Ylang, Black Pepper, Jasmine, Bergamot","Vanilla, Sandal, Amber"
4711 Acqua Colonia Cotton & Almond 4711,4711,https://fimgs.net/mdimg/perfume/375x500.55929.jpg,for women and men,"{'almond': '100', 'powdery': '96.1818', 'floral': '70.7271', 'nutty': '62.4545', 'fruity': '57.0455', 'vanilla': '52.2728', 'sweet': '48.9319'}",Almond Milk,Heliotrope,Cotton Flower
4711 Acqua Colonia Intense Floral Fields of Ireland 4711,4711,https://fimgs.net/mdimg/perfume/375x500.55727.jpg,for women and men,"{'white floral': '100', 'citrus': '95.372', 'floral': '87.2148', 'yellow floral': '73.215', 'fruity': '63.9006', 'powdery': '62.802', 'woody': '62.3966', 'sweet': '56.3222'}","Osmanthus, Mandarin Orange, Lemon","Mimosa, Orange Blossom, Jasmine","Oriental Woodsy notes, Cedar, Sandalwood"
4711 Magnolia Eau de Cologne 4711,4711,https://fimgs.net/mdimg/perfume/375x500.62482.jpg,for women,"{'floral': '100', 'citrus': '82.9166', 'woody': '52.2917', 'white floral': '46.6666', 'musky': '46.25', 'powdery': '44.8959'}","Mandarin Orange, Sweet Orange, Pink Pepper","Magnolia, Freesia, Jasmine","Cashmeran, Sandalwood"
Shahi Eau de Cologne 4711,4711,https://fimgs.net/mdimg/perfume/375x500.72673.jpg,for women,"{'aromatic': '100', 'citrus': '99.0139', 'woody': '63.9157', 'fresh spicy': '63.5211', 'floral': '54.6478', 'musky': '49.7183', 'yellow floral': '49.7183', 'sweet': '48.7323'}","Bergamot, Orange, Lemon, Neroli","Ylang-Ylang, Rosemary, Coriander, Carnation","Vetiver, Musk"
