name,company,image,for_gender,main accords,top notes,middle notes,base notes
Done in straight lines   *Apartment,*Apartment,https://fimgs.net/mdimg/perfume/375x500.92504.jpg,for women and men,"{'woody': '100', 'fresh spicy': '60.4346', 'green': '60.4346', 'mossy': '60.4346', 'warm spicy': '54.3478', 'aromatic': '51.3045', 'earthy': '51.3045', 'balsamic': '45.2173', 'powdery': '45.2173'}",,,
Hydrogen is my favourite element *Apartment,*Apartment,https://fimgs.net/mdimg/perfume/375x500.92502.jpg,for women and men,"{'woody': '100', 'mossy': '66.8422', 'musky': '66.8422', 'amber': '63.1578', 'aromatic': '59.4738', 'smoky': '59.4738', 'earthy': '55.7895', 'balsamic': '48.4211', 'powdery': '48.4211', 'warm spicy': '44.7367'}",,,
Please and thank you *Apartment,*Apartment,https://fimgs.net/mdimg/perfume/375x500.92503.jpg,for women and men,"{'woody': '100', 'aldehydic': '93.6362', 'amber': '87.2727', 'smoky': '80.9092', 'fresh': '68.1819', 'balsamic': '61.8181', 'warm spicy': '55.4546', 'musky': '49.0908', 'soapy': '49.0908'}",,,
Cèdre & Iris Soyeux 100 Bon,100 Bon,https://fimgs.net/mdimg/perfume/375x500.44796.jpg,for women and men,"{'woody': '100', 'powdery': '96.1466', 'iris': '74.1512', 'earthy': '59.7018', 'amber': '59.3809', 'violet': '52.0756', 'aromatic': '50.43', 'citrus': '45.6537', 'warm spicy': '44.1286'}","Neroli, Orange","Cedar, Iris, Powdery Notes","Vetiver, Benzoin, Incense"
Vetiver & Iris 100 Bon,100 Bon,https://fimgs.net/mdimg/perfume/375x500.90792.jpg,for women and men,"{'earthy': '100', 'iris': '100', 'woody': '93.0002', 'aromatic': '90.8463', 'fresh spicy': '83.8461', 'powdery': '73.6154', 'violet': '65', 'warm spicy': '45.077', 'green': '44.0001'}",,,
Snickarboden 109 Parfums,109 Parfums,https://fimgs.net/mdimg/perfume/375x500.52424.jpg,for women and men,"{'woody': '100', 'leather': '47.9487', 'aromatic': '47.0514', 'smoky': '44.359', 'sweet': '44.0599'}",Birch,Maple sap,"Oak, Sandalwood, Cedar, Pine"
Smoked Wood 1667,1667,https://fimgs.net/mdimg/perfume/375x500.67733.jpg,for women and men,"{'woody': '100', 'aromatic': '88.3332', 'citrus': '88.3332', 'smoky': '88.3332', 'fresh spicy': '59.1666', 'herbal': '47.4998'}",Mandarin Orange,Thyme,"Woody Notes, Smoke"
Female Christ 19-69,19-69,https://fimgs.net/mdimg/perfume/375x500.62288.jpg,for women and men,"{'woody': '100', 'amber': '80.8846', 'warm spicy': '79.6393', 'patchouli': '78.4617', 'aromatic': '77.4517', 'balsamic': '56.5528', 'vanilla': '53.1877', 'camphor': '52.1443', 'earthy': '49.3847', 'fresh spicy': '45.1442'}","Patchouli, Eucalyptus, Pimento","Rhubarb, Wintergreen, Red Thyme, Geranium","Amber, Cashmere Wood, Benzoin, Vanilla, Cinnamon"
Genetic Bliss 27 87,27 87,https://fimgs.net/mdimg/perfume/375x500.51396.jpg,for women and men,"{'woody': '100', 'powdery': '48.5697', 'oud': '48.1833', 'warm spicy': '46.4006', 'musky': '46.3413'}",,,
Bodhi Language 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.51532.jpg,for women and men,"{'woody': '100', 'whiskey': '57.3632', 'oud': '51.8905', 'floral': '48.5571'}",Bergamot,"Buddha Wood, Whiskey, Boronia, Malt, Gardenia","White Oud, Sandalwood, Cedar, Ambergris"
